index,user,question,answer,question_class,is_domain_question
50,103,what is test4,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
51,103,what is test,"A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes.",whQuestion,
52,103,teste,"Sorry, I still can't answer that.. Could you ask me differently?",Statement,
53,103,test,"Sorry, I still can't answer that.. Could you ask me differently?",Statement,
54,103,o que é teste,"Sorry, I still can't answer that.. Could you ask me differently?",nAnswer,*
55,103,bye,See you!,Bye,0
56,103,see you,Bye bye!,Statement,
57,103,bye bye,Bye bye!,Bye,0
58,103,What is a error,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,whQuestion,
59,103,what is a fault,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.",whQuestion,
60,103,give a exempla,"Sorry, I still can't answer that.. Could you ask me differently?",Statement,
61,103,give me a example,"Sorry, I still can't answer that.. Could you ask me differently?",Statement,
62,103,Can you give me a example of equivalence class partitioning criteria,"Consider the specification. A program validates a field in the following way: values less than 10 are rejected, values between 10 and 21 are accepted and values greater or equal to 22 are rejected. In this problem, the values 3, 10 and 22 cover all the existing equivalence classes.",ynQuestion,1
63,103,waht is software testing,"Sorry, I still can't answer that.. Could you ask me differently?",Statement,
64,103,what is software testing,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",whQuestion,
65,103,fault,"Sorry, I still can't answer that.. Could you ask me differently?",Statement,
66,103,what is fault,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.",whQuestion,
67,103,what is error,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,whQuestion,
68,103,what is Failure,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,whQuestion,
69,103,what is teste case,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
70,103,what is test case,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.",whQuestion,
71,103,what is teste coverage,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
72,103,what is testing coverage,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
73,103,what is oracle,"An oracle is any human or mechanical agent that decides whether a program behaved correctly in a given test and accordingly results in a verdict of “pass” or “fail.” There exist many different kinds of oracles; for example, unambiguous requirements specifications, behavioral models, and code annotations. Automation of mechanized oracles can be difficult and expensive.",whQuestion,
74,103,what id oracle problem,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
75,103,what is the aim of testing,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",whQuestion,
76,103,what is unit testing,"Unit testing verifies the functioning in isolation of software elements that are separately testable. Depending on the context, these could be the individual subprograms or a larger component made of highly cohesive units. Typically, unit testing occurs with access to the code being tested and with the support of supporting tools. The programmers who wrote the code typically, but not always, conduct unit testing.",whQuestion,
77,103,what is a test case,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.",whQuestion,
78,103,what is test selection criteria,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
79,103,what is test criterion,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
80,103,what is equivalence partitioning,"Equivalence partitioning is a functional testing criterion that involves partitioning the input domain into a collection of subsets (or equivalent classes). Data in each partition must behave the same way therefore only one condition needs to be tested. Similarly, if one condition in a partition doesn’t work, then none of the others will work.",whQuestion,
81,103,test criterion,"Sorry, I still can't answer that.. Could you ask me differently?",Statement,
82,103,what is criterion,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
83,103,what is mutant,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
84,104,Hello,"Hi there, what do you need?",Greet,0
85,104,I nedd to know what is software testing,"Sorry, I still can't answer that.. Could you ask me differently?",Statement,
86,104,I need to know what is software testing,"Sorry, I still can't answer that.. Could you ask me differently?",Statement,
87,104,What is software testing,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",whQuestion,
88,104,hi,"Hello, ask me a question!",Greet,0
89,104,i need to know what is a test case,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.",Statement,
90,104,what is the definition of defect,A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation.,whQuestion,
91,104,what is a fault,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.",whQuestion,
92,104,what is a failure,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,whQuestion,
93,105,hi,Welcome!,Greet,0
94,105,could you help me,"Ok, tell me. What is your question?",Statement,
95,105,how can I test a software,"Sorry, I still can't answer that.. Could you ask me differently?",Statement,
96,105,How have I test a software,"Sorry, I still can't answer that.. Could you ask me differently?",Emphasis,1
97,105,no,"Sorry, I still can't answer that.. Could you ask me differently?",Statement,
98,105,no,"Sorry, I still can't answer that.. Could you ask me differently?",Statement,
99,105,yes,"Sorry, I still can't answer that.. Could you ask me differently?",yAnswer,0
100,105,hi,"Hello, ask me a question!",Greet,0
101,105,what is a error,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,whQuestion,
102,105,what is a fault,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.",whQuestion,
103,105,what is a faiulure,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
104,105,what is a failure,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,whQuestion,
105,105,what is the difference between fault and error,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. An error is a state of execution of the program which is not expected and may lead to an incorrect result.",Clarify,1
106,105,can you give me a example of equivalente class partitining criteria,"Sorry, I still can't answer that.. Could you ask me differently?",ynQuestion,1
107,105,can you give me a example of equivalence class partitining criteria,"Sorry, I still can't answer that.. Could you ask me differently?",ynQuestion,1
108,105,can you give me a example of equivalence class partining criteria,"Sorry, I still can't answer that.. Could you ask me differently?",ynQuestion,1
109,105,Can you give me a example of equivalence class partitioning criteria,TOB-STT:,ynQuestion,1
110,105,Can you give me a example of equivalence class partitioning criteria,"Here is an example of an application of equivalence partitioning. Consider the following specification: if you are below 18 years old, you are too young to be insured. If you are between 18 and 30 years old, you will get a 20% discount, but you are not elegible for an insurance if you are past 30. In this problem, the ages 18,.., 30 are in the same equivalence class",ynQuestion,1
111,105,what is a software testing,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",whQuestion,
112,105,what is a dynamic verification,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
113,105,what is a dynamic verification,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
114,105,what is failures,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
115,105,what is failure,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,whQuestion,
116,105,what is fault,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.",whQuestion,
117,105,what is a error,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,whQuestion,
118,105,what is is failure,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,whQuestion,
119,105,what is test case,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.",whQuestion,
120,105,what is fault-based,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
121,105,what is is fault based,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
122,106,"Hi, how are you","I am fine, what about you",whQuestion,
123,106,Fine thanks,You are welcome! :),Statement,
124,106,How do I calculate McCabe index,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
125,106,How do I apply the McCabe criteria,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
126,106,How can I calculate McCabe,"Sorry, I still can't answer that.. Could you ask me differently?",Emphasis,1
127,106,What is a test case,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.",whQuestion,
128,106,What is software testing,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",whQuestion,
129,106,What is a limitation of software testing,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",whQuestion,
130,106,What is the most important limitation of software testing,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",Clarify,1
131,106,What is a software fault,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.",whQuestion,
132,106,What is a software error,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,whQuestion,
133,106,What is a software failure,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,whQuestion,
134,106,Which problems are associated with software testing,"Sorry, I still can't answer that.. Could you ask me differently?",Reject,1
135,106,What problems are associated with software testing,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
136,106,What is the oracle problem in software testing,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",whQuestion,
137,106,How to classify test techniques,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
138,106,What are the classifications of testing techniques,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
139,106,Define software testing classification,"Sorry, I still can't answer that.. Could you ask me differently?",Statement,
140,106,What are software testing classifications,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
141,106,Define unit test,"Unit testing verifies the functioning in isolation of software elements that are separately testable. Depending on the context, these could be the individual subprograms or a larger component made of highly cohesive units. Typically, unit testing occurs with access to the code being tested and with the support of supporting tools. The programmers who wrote the code typically, but not always, conduct unit testing.",Statement,
142,106,Define integration testing,"Integration testing is the process of verifying the interactions among software components. Classical integration testing strategies, such as top-down and bottom-up, are often used with hierarchically structured software.",Statement,
143,106,Define white-box testing,"Sorry, I still can't answer that.. Could you ask me differently?",Statement,
144,106,Define black-box,"Sorry, I still can't answer that.. Could you ask me differently?",Statement,
145,107,hi,"Hello, how are you?",Greet,0
146,107,failure,"Sorry, I still can't answer that.. Could you ask me differently?",Statement,
147,107,what is failure,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,whQuestion,
148,107,what is fault,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.",whQuestion,
149,107,what is error,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,whQuestion,
150,107,what is oracle,"An oracle is any human or mechanical agent that decides whether a program behaved correctly in a given test and accordingly results in a verdict of “pass” or “fail.” There exist many different kinds of oracles; for example, unambiguous requirements specifications, behavioral models, and code annotations. Automation of mechanized oracles can be difficult and expensive.",whQuestion,
151,107,what is equivalence partitioning,"Equivalence partitioning is a functional testing criterion that involves partitioning the input domain into a collection of subsets (or equivalent classes). Data in each partition must behave the same way therefore only one condition needs to be tested. Similarly, if one condition in a partition doesn’t work, then none of the others will work.",whQuestion,
152,108,hi,"Hello, how are you?",Greet,0
153,108,hi,"Hello, ask me a question!",Greet,0
154,108,no,"Sorry, I still can't answer that.. Could you ask me differently?",Statement,
155,108,hii,Welcome!,Greet,0
156,108,hiiiiiiii,"Sorry, I still can't answer that.. Could you ask me differently?",Statement,
157,108,hiii,"Sorry, I still can't answer that.. Could you ask me differently?",Greet,0
158,108,hii,Welcome!,Greet,0
159,108,helloo,"Sorry, I still can't answer that.. Could you ask me differently?",Statement,
160,108,hiii,"Sorry, I still can't answer that.. Could you ask me differently?",Greet,0
161,108,hii,"Hi there, what do you need?",Greet,0
162,108,hiii,"Sorry, I still can't answer that.. Could you ask me differently?",Greet,0
163,108,hi,"Hello, ask me a question!",Greet,0
164,108,hood,"Sorry, I still can't answer that.. Could you ask me differently?",Statement,
165,108,good,"Sorry, I still can't answer that.. Could you ask me differently?",Statement,
166,108,what is testing,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",whQuestion,
167,108,what is 52 testing,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",whQuestion,
168,108,what is geu testing,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",whQuestion,
169,108,what is functional testing,"Functional testing (or Black Box Testing) is a technique whereby the system is tested against the functional requirements/specifications. During the functional testing the internal logic of the system being tested is not known to the tester. Functional testing ensures that the requirements are properly satisfied by the system. This type of testing is not concerned with how processing occurs, but rather, with the results of processing. It simulates actual system usage but does not make any system structure assumptions. Functional testing is normally performed during the levels of System Testing and Acceptance Testing.",whQuestion,
170,108,what is your name,"I am TOB-STT, a software testing teaching assistant!",whQuestion,
171,108,how did you learn these things,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
172,108,who taught you these things,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
173,108,fuck,"Sorry, I still can't answer that.. Could you ask me differently?",Statement,
174,109,Hello,"Hello, ask me a question!",Greet,0
175,109,What is software testing,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",whQuestion,
176,109,Limitations of software testing,"Sorry, I still can't answer that.. Could you ask me differently?",Statement,
177,109,What is the limitations of software testing,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",whQuestion,
178,109,What is a fault,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.",whQuestion,
179,109,What is an error,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,whQuestion,
180,109,What is a failure,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,whQuestion,
181,109,What is a mistake,"A mistake is a human action that inserts a fault (or defect) into the source code, for instance, a typo is a mistake.",whQuestion,
182,109,What is a test case,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.",whQuestion,
183,109,What is a test set,The test set is composed by several test cases that are used in a software testing activity.,whQuestion,
184,109,What is the Oracle problem,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
185,109,Where is user coverage criterion,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
186,109,What is a testing technique,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
187,109,What is the white-box testing,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",whQuestion,
188,109,What is functional testing,"Functional testing (or Black Box Testing) is a technique whereby the system is tested against the functional requirements/specifications. During the functional testing the internal logic of the system being tested is not known to the tester. Functional testing ensures that the requirements are properly satisfied by the system. This type of testing is not concerned with how processing occurs, but rather, with the results of processing. It simulates actual system usage but does not make any system structure assumptions. Functional testing is normally performed during the levels of System Testing and Acceptance Testing.",whQuestion,
189,109,What is structural testing,"Structural testing (or White-Box testing) is a technique in which tests are derived from the knowledge of the software's structure or internal implementation. That way, the testing professional is able to check if a specific part of the code is correct. Unit testing is an instance of structural testing.",whQuestion,
190,109,What is unit testing,"Unit testing verifies the functioning in isolation of software elements that are separately testable. Depending on the context, these could be the individual subprograms or a larger component made of highly cohesive units. Typically, unit testing occurs with access to the code being tested and with the support of supporting tools. The programmers who wrote the code typically, but not always, conduct unit testing.",whQuestion,
191,109,What is integration testing,"Integration testing is the process of verifying the interactions among software components. Classical integration testing strategies, such as top-down and bottom-up, are often used with hierarchically structured software.",whQuestion,
192,109,What is test selection criteria,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
193,109,What is equivalence partitioning,"Equivalence partitioning is a functional testing criterion that involves partitioning the input domain into a collection of subsets (or equivalent classes). Data in each partition must behave the same way therefore only one condition needs to be tested. Similarly, if one condition in a partition doesn’t work, then none of the others will work.",whQuestion,
194,10,Simone,Hello Simone ! Can you tell me your Numero USP?,Statement,
195,10,1842655,Thank you! And nice to meet you!,Statement,
196,10,Thanks,You are welcome! :),System,
197,10,What´s your name?,I have to think about that one for a while.,whQuestion,
198,10,how fucntional testing works?,I don't know how to respond this,whQuestion,
199,10,How to apply functional testing?,"It depends of the criteria or technique used. The most common techniques used in functional testing are equivalence partitioning, boundary-value analysis and cause-effect graphing.",whQuestion,
200,10,What´s functional testing?,"Functional testing or black-box testing is a type of testing which checks if a program or system is working correctly only by comparing the expected outputs with the output of the program. The professional responsible for doing the test activity does only know the possible input and output values for the program, but has no knowledge of the source code or internal structure of the program or software.",ynQuestion,1
201,10,How to apply cause-effect graphing?,I don't know how to respond this,whQuestion,
202,10,How to apply equivalence partitioning?,"The equivalence partitioning is done dividing the input set in several subsets with no intersecction (i.e. a partition) and creating a test case for each representative of the subsets. For example, you can separate invalid and valid inputs into two different subsets.",whQuestion,
203,110,Hi,"Hello, how are you?",Greet,0
204,110,"Good, you","Sorry, I still can't answer that.. Could you ask me differently?",Statement,
205,110,How,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
206,110,Yes,"Sorry, I still can't answer that.. Could you ask me differently?",yAnswer,0
207,110,No,"Sorry, I still can't answer that.. Could you ask me differently?",nAnswer,0
208,110,Fault,"Sorry, I still can't answer that.. Could you ask me differently?",Statement,
209,110,What is a fault,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.",whQuestion,
210,110,What is an error,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,whQuestion,
211,110,What is failure,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,whQuestion,
212,110,What is a test set,The test set is composed by several test cases that are used in a software testing activity.,whQuestion,
213,110,Test coverage,"Sorry, I still can't answer that.. Could you ask me differently?",Statement,
214,110,What is test coverage,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
215,110,What is a test case,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.",whQuestion,
216,110,What is unit test,"A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes.",whQuestion,
217,110,What is unit testing,"Unit testing verifies the functioning in isolation of software elements that are separately testable. Depending on the context, these could be the individual subprograms or a larger component made of highly cohesive units. Typically, unit testing occurs with access to the code being tested and with the support of supporting tools. The programmers who wrote the code typically, but not always, conduct unit testing.",whQuestion,
218,110,What is white box testing,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",whQuestion,
219,110,What is integration testing,"Integration testing is the process of verifying the interactions among software components. Classical integration testing strategies, such as top-down and bottom-up, are often used with hierarchically structured software.",whQuestion,
220,110,What is a bug,A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation.,whQuestion,
221,110,What is software failure,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,whQuestion,
222,111,hello,Welcome!,Greet,0
223,111,what is fault,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.",whQuestion,
224,111,what is software test,"A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes.",whQuestion,
225,111,what is fault,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.",whQuestion,
226,111,what is error,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,whQuestion,
227,111,what is failure,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,whQuestion,
228,111,what is white box,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
229,111,what is white box testing,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",whQuestion,
230,111,what is testing,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",whQuestion,
231,111,ehat ar the three main phases of software testing,"Sorry, I still can't answer that.. Could you ask me differently?",Clarify,1
232,111,what ar the three main phases of software testing,"Sorry, I still can't answer that.. Could you ask me differently?",Clarify,1
233,111,what are the three main phases of software testing,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.",whQuestion,
234,111,what is the aim of test,"A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes.",whQuestion,
235,111,test,"Sorry, I still can't answer that.. Could you ask me differently?",Statement,
236,111,what test,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
237,111,what is test,"A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes.",whQuestion,
238,111,deffine white box,"Sorry, I still can't answer that.. Could you ask me differently?",Clarify,1
239,111,How do i apply equivalence class partitioning criteria,"The equivalence partitioning criterion divides the input domain in several subsets (partitions) with no intersection and selects a test case for each partition. The idea is that each test case represents all input domain that partition class and, therefore, one test case for each class is enough for this testing criterion. The criterion considers valid and invalid equivalence classes. For example, you can separate invalid and valid inputs into two different subsets or classes.",Clarify,1
240,111,How do i apply equivalence class partitioning criteria,"The equivalence partitioning criterion divides the input domain in several subsets (partitions) with no intersection and selects a test case for each partition. The idea is that each test case represents all input domain that partition class and, therefore, one test case for each class is enough for this testing criterion. The criterion considers valid and invalid equivalence classes. For example, you can separate invalid and valid inputs into two different subsets or classes.",Clarify,1
241,111,Can you give me a example of functional testing criteria,"In functional testing technique, the functionality of an application is tested by providing inputs to generate the desired outputs. Consider a bus ticket purchase system with the following requirement: The discount amount is calculated as follows: students can purchase up to 100 tickets per month, with a 50% discount; workers can buy up to 50 tickets a month, with a 30% discount; other users do not have discount on the ticket price. The functional testing concentrates in selection of test input (or data test) to test this functionality, for instance, selecting test input for each class of user of the bus (student, worker and others).",ynQuestion,1
242,111,what is white-box,"Sorry, I still can't answer that.. Could you ask me differently?",whQuestion,
