,user,question,question_class,v1_answer,v2:model-20230626-203321
25,100,what is white box testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
26,100,what is black box testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
27,100,Hi,Greet,"Hello, ask me a question!",Hi
28,100,What is black-box testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
29,100,what is white box testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
30,100,what is structural testing,whQuestion,"Structural testing (or White-Box testing) is a technique in which tests are derived from the knowledge of the software's structure or internal implementation. That way, the testing professional is able to check if a specific part of the code is correct. Unit testing is an instance of structural testing.","Structural testing (or White-Box testing) is a technique in which tests are derived from the knowledge of the software's structure or internal implementation. That way, the testing professional is able to check if a specific part of the code is correct. Unit testing is an instance of structural testing."
31,101,hi,Greet,"Hi there, what do you need?",Hi
32,101,what is software testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance."
33,101,what is your name,whQuestion,"I am TOB-STT, a software testing teaching assistant!","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance."
34,101,how can I test my software,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that"
35,101,what can you do for me,whQuestion,You can ask me anything related to testing terminology and usage of software testing criterias,I don't understand what you mean
36,101,list for me all testing terminology,Statement,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
37,101,what is a life cycle,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?",A cycle is a path that connects the first node to the last. They are usually the loops in CFG.
38,101,what do you know,whQuestion,You can ask me anything related to testing terminology and usage of software testing criterias,A cycle is a path that connects the first node to the last. They are usually the loops in CFG.
39,101,what is kanban,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?",A cycle is a path that connects the first node to the last. They are usually the loops in CFG.
40,101,what is an unit test,whQuestion,"A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes.","A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes."
41,101,what is a functional testing,whQuestion,"Functional testing (or Black Box Testing) is a technique whereby the system is tested against the functional requirements/specifications. During the functional testing the internal logic of the system being tested is not known to the tester. Functional testing ensures that the requirements are properly satisfied by the system. This type of testing is not concerned with how processing occurs, but rather, with the results of processing. It simulates actual system usage but does not make any system structure assumptions. Functional testing is normally performed during the levels of System Testing and Acceptance Testing.","Functional testing (or Black Box Testing) is a technique whereby the system is tested against the functional requirements/specifications. During the functional testing the internal logic of the system being tested is not known to the tester. Functional testing ensures that the requirements are properly satisfied by the system. This type of testing is not concerned with how processing occurs, but rather, with the results of processing. It simulates actual system usage but does not make any system structure assumptions. Functional testing is normally performed during the levels of System Testing and Acceptance Testing."
42,101,what is acceptance testing,whQuestion,Acceptance testing is a level of software testing where a system is tested for acceptability. The purpose of this test is to evaluate the system’s compliance with the business requirements and assess whether it is acceptable for delivery.,Acceptance testing is a level of software testing where a system is tested for acceptability. The purpose of this test is to evaluate the system’s compliance with the business requirements and assess whether it is acceptable for delivery.
43,101,Regression testing,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
44,101,Alpha testing,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
45,102,Hi,Greet,Welcome!,Hi
46,102,What is software testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance."
47,103,hi,Greet,Welcome!,Hi
48,103,Who are you,whQuestion,"I am TOB-STT, a software testing teaching assistant!","Sorry, I didn't quite catch that"
49,103,what can you do,whQuestion,I am here to help you with software testing. I can answer some question you ask me about that topic.,"Sorry, I didn't understand your question, could you repeat?"
50,103,what is test4,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
51,103,what is test,whQuestion,"A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes.","A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes."
52,103,teste,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that"
53,103,test,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes."
54,103,o que é teste,nAnswer,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that"
55,103,bye,Bye,See you!,Bye!
56,103,see you,Statement,Bye bye!,Bye!
57,103,bye bye,Bye,Bye bye!,Bye!
58,103,What is a error,whQuestion,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,An error is a state of execution of the program which is not expected and may lead to an incorrect result.
59,103,what is a fault,whQuestion,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation."
60,103,give a exempla,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","A defect is an incorrect data definition. In your code, it could be an access of inexistent position in a vector, for instance."
61,103,give me a example,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","A defect is an incorrect data definition. In your code, it could be an access of inexistent position in a vector, for instance."
62,103,Can you give me a example of equivalence class partitioning criteria,ynQuestion,"Consider the specification. A program validates a field in the following way: values less than 10 are rejected, values between 10 and 21 are accepted and values greater or equal to 22 are rejected. In this problem, the values 3, 10 and 22 cover all the existing equivalence classes.",I don't understand what you mean
63,103,waht is software testing,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance."
64,103,what is software testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance."
65,103,fault,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","A defect is an incorrect data definition. In your code, it could be an access of inexistent position in a vector, for instance."
66,103,what is fault,whQuestion,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation."
67,103,what is error,whQuestion,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,An error is a state of execution of the program which is not expected and may lead to an incorrect result.
68,103,what is Failure,whQuestion,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,A failure is a result of the program which is incorrect or not expected. This is caused by an error.
69,103,what is teste case,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
70,103,what is test case,whQuestion,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program."
71,103,what is teste coverage,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
72,103,what is testing coverage,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
73,103,what is oracle,whQuestion,"An oracle is any human or mechanical agent that decides whether a program behaved correctly in a given test and accordingly results in a verdict of “pass” or “fail.” There exist many different kinds of oracles; for example, unambiguous requirements specifications, behavioral models, and code annotations. Automation of mechanized oracles can be difficult and expensive.","An oracle is any human or mechanical agent that decides whether a program behaved correctly in a given test and accordingly results in a verdict of “pass” or “fail.” There exist many different kinds of oracles; for example, unambiguous requirements specifications, behavioral models, and code annotations. Automation of mechanized oracles can be difficult and expensive."
74,103,what id oracle problem,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that"
75,103,what is the aim of testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
76,103,what is unit testing,whQuestion,"Unit testing verifies the functioning in isolation of software elements that are separately testable. Depending on the context, these could be the individual subprograms or a larger component made of highly cohesive units. Typically, unit testing occurs with access to the code being tested and with the support of supporting tools. The programmers who wrote the code typically, but not always, conduct unit testing.","Unit testing verifies the functioning in isolation of software elements that are separately testable. Depending on the context, these could be the individual subprograms or a larger component made of highly cohesive units. Typically, unit testing occurs with access to the code being tested and with the support of supporting tools. The programmers who wrote the code typically, but not always, conduct unit testing."
77,103,what is a test case,whQuestion,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program."
78,103,what is test selection criteria,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
79,103,what is test criterion,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
80,103,what is equivalence partitioning,whQuestion,"Equivalence partitioning is a functional testing criterion that involves partitioning the input domain into a collection of subsets (or equivalent classes). Data in each partition must behave the same way therefore only one condition needs to be tested. Similarly, if one condition in a partition doesn’t work, then none of the others will work.","Equivalence partitioning is a functional testing criterion that involves partitioning the input domain into a collection of subsets (or equivalent classes). Data in each partition must behave the same way therefore only one condition needs to be tested. Similarly, if one condition in a partition doesn’t work, then none of the others will work."
81,103,test criterion,Statement,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
82,103,what is criterion,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
83,103,what is mutant,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Equivalence partitioning is a functional testing criterion that involves partitioning the input domain into a collection of subsets (or equivalent classes). Data in each partition must behave the same way therefore only one condition needs to be tested. Similarly, if one condition in a partition doesn’t work, then none of the others will work."
84,104,Hello,Greet,"Hi there, what do you need?",Hi
85,104,I nedd to know what is software testing,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance."
86,104,I need to know what is software testing,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance."
87,104,What is software testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance."
88,104,hi,Greet,"Hello, ask me a question!",Hi
89,104,i need to know what is a test case,Statement,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program."
90,104,what is the definition of defect,whQuestion,A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation.,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation."
91,104,what is a fault,whQuestion,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation."
92,104,what is a failure,whQuestion,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,A failure is a result of the program which is incorrect or not expected. This is caused by an error.
93,105,hi,Greet,Welcome!,Hi
94,105,could you help me,Statement,"Ok, tell me. What is your question?","Sorry, I didn't understand your question, could you repeat?"
95,105,how can I test a software,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
96,105,How have I test a software,Emphasis,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that"
97,105,no,Statement,"Sorry, I still can't answer that.. Could you ask me differently?",Hi
98,105,no,Statement,"Sorry, I still can't answer that.. Could you ask me differently?",Hi
99,105,yes,yAnswer,"Sorry, I still can't answer that.. Could you ask me differently?",Bye!
100,105,hi,Greet,"Hello, ask me a question!",Hi
101,105,what is a error,whQuestion,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,An error is a state of execution of the program which is not expected and may lead to an incorrect result.
102,105,what is a fault,whQuestion,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation."
103,105,what is a faiulure,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
104,105,what is a failure,whQuestion,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,A failure is a result of the program which is incorrect or not expected. This is caused by an error.
105,105,what is the difference between fault and error,Clarify,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. An error is a state of execution of the program which is not expected and may lead to an incorrect result.",An error is a state of execution of the program which is not expected and may lead to an incorrect result.
106,105,can you give me a example of equivalente class partitining criteria,ynQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that"
107,105,can you give me a example of equivalence class partitining criteria,ynQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that"
108,105,can you give me a example of equivalence class partining criteria,ynQuestion,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
109,105,Can you give me a example of equivalence class partitioning criteria,ynQuestion,TOB-STT:,"Sorry, I didn't understand your question, could you repeat?"
110,105,Can you give me a example of equivalence class partitioning criteria,ynQuestion,"Here is an example of an application of equivalence partitioning. Consider the following specification: if you are below 18 years old, you are too young to be insured. If you are between 18 and 30 years old, you will get a 20% discount, but you are not elegible for an insurance if you are past 30. In this problem, the ages 18,.., 30 are in the same equivalence class","Sorry, I didn't understand your question, could you repeat?"
111,105,what is a software testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance."
112,105,what is a dynamic verification,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
113,105,what is a dynamic verification,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
114,105,what is failures,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
115,105,what is failure,whQuestion,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,A failure is a result of the program which is incorrect or not expected. This is caused by an error.
116,105,what is fault,whQuestion,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation."
117,105,what is a error,whQuestion,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,An error is a state of execution of the program which is not expected and may lead to an incorrect result.
118,105,what is is failure,whQuestion,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,A failure is a result of the program which is incorrect or not expected. This is caused by an error.
119,105,what is test case,whQuestion,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program."
120,105,what is fault-based,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
121,105,what is is fault based,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
122,106,"Hi, how are you",whQuestion,"I am fine, what about you","Sorry, I didn't quite catch that"
123,106,Fine thanks,Statement,You are welcome! :),No worries!
124,106,How do I calculate McCabe index,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
125,106,How do I apply the McCabe criteria,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
126,106,How can I calculate McCabe,Emphasis,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't understand your question, could you repeat?"
127,106,What is a test case,whQuestion,"A test case is composed by the test input, the execution conditions and the expected output to be produced by the program.","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program."
128,106,What is software testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance."
129,106,What is a limitation of software testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance."
130,106,What is the most important limitation of software testing,Clarify,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance."
131,106,What is a software fault,whQuestion,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation."
132,106,What is a software error,whQuestion,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,An error is a state of execution of the program which is not expected and may lead to an incorrect result.
133,106,What is a software failure,whQuestion,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,A failure is a result of the program which is incorrect or not expected. This is caused by an error.
134,106,Which problems are associated with software testing,Reject,"Sorry, I still can't answer that.. Could you ask me differently?","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance."
135,106,What problems are associated with software testing,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance."
136,106,What is the oracle problem in software testing,whQuestion,"Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice.","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenance."
137,106,How to classify test techniques,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that"
138,106,What are the classifications of testing techniques,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
139,106,Define software testing classification,Statement,"Sorry, I still can't answer that.. Could you ask me differently?",I don't understand what you mean
140,106,What are software testing classifications,whQuestion,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that"
141,106,Define unit test,Statement,"Unit testing verifies the functioning in isolation of software elements that are separately testable. Depending on the context, these could be the individual subprograms or a larger component made of highly cohesive units. Typically, unit testing occurs with access to the code being tested and with the support of supporting tools. The programmers who wrote the code typically, but not always, conduct unit testing.","A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes."
142,106,Define integration testing,Statement,"Integration testing is the process of verifying the interactions among software components. Classical integration testing strategies, such as top-down and bottom-up, are often used with hierarchically structured software.","Integration testing is the process of verifying the interactions among software components. Classical integration testing strategies, such as top-down and bottom-up, are often used with hierarchically structured software."
143,106,Define white-box testing,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
144,106,Define black-box,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","Sorry, I didn't quite catch that"
145,107,hi,Greet,"Hello, how are you?",Hi
146,107,failure,Statement,"Sorry, I still can't answer that.. Could you ask me differently?","A failure occurs when the output of your program is different than expected. So a failure can occur when your factorial calculator program outputs an overflowed result, which is the result of an overflow error during it’s execution."
147,107,what is failure,whQuestion,A failure is a result of the program which is incorrect or not expected. This is caused by an error.,A failure is a result of the program which is incorrect or not expected. This is caused by an error.
148,107,what is fault,whQuestion,"Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug.","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation."
149,107,what is error,whQuestion,An error is a state of execution of the program which is not expected and may lead to an incorrect result.,An error is a state of execution of the program which is not expected and may lead to an incorrect result.
150,107,what is oracle,whQuestion,"An oracle is any human or mechanical agent that decides whether a program behaved correctly in a given test and accordingly results in a verdict of “pass” or “fail.” There exist many different kinds of oracles; for example, unambiguous requirements specifications, behavioral models, and code annotations. Automation of mechanized oracles can be difficult and expensive.","An oracle is any human or mechanical agent that decides whether a program behaved correctly in a given test and accordingly results in a verdict of “pass” or “fail.” There exist many different kinds of oracles; for example, unambiguous requirements specifications, behavioral models, and code annotations. Automation of mechanized oracles can be difficult and expensive."
