user,question,answer
100,"what is white box testing","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
100,"what is a test case","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program."
100,"what is a oracle","An oracle is any human or mechanical agent that decides whether a program behaved correctly in a given test and accordingly results in a verdict of “pass” or “fail.” There exist many different kinds of oracles; for example, unambiguous requirements specifications, behavioral models, and code annotations. Automation of mechanized oracles can be difficult and expensive."
100,"Hello","Hello, how are you?"
100,"Fine","Sorry, I still can't answer that.. Could you ask me differently?"
100,"what is a test case","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program."
100,"what is a test case","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program."
100,"what is white-box testing","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
100,"what is white box testing","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
100,"what is black box testing","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
100,"Hi","Hello, ask me a question!"
100,"What is black-box testing","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
100,"what is white box testing","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
100,"what is structural testing","Structural testing (or White-Box testing) is a technique in which tests are derived from the knowledge of the software's structure or internal implementation. That way, the testing professional is able to check if a specific part of the code is correct. Unit testing is an instance of structural testing."
101,"hi","Hi there, what do you need?"
101,"what is software testing","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
101,"what is your name","I am TOB-STT, a software testing teaching assistant!"
101,"how can I test my software","Sorry, I still can't answer that.. Could you ask me differently?"
101,"what can you do for me","You can ask me anything related to testing terminology and usage of software testing criterias"
101,"list for me all testing terminology","Sorry, I still can't answer that.. Could you ask me differently?"
101,"what is a life cycle","Sorry, I still can't answer that.. Could you ask me differently?"
101,"what do you know","You can ask me anything related to testing terminology and usage of software testing criterias"
101,"what is kanban","Sorry, I still can't answer that.. Could you ask me differently?"
101,"what is an unit test","A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes."
101,"what is a functional testing","Functional testing (or Black Box Testing) is a technique whereby the system is tested against the functional requirements/specifications. During the functional testing the internal logic of the system being tested is not known to the tester. Functional testing ensures that the requirements are properly satisfied by the system. This type of testing is not concerned with how processing occurs, but rather, with the results of processing. It simulates actual system usage but does not make any system structure assumptions. Functional testing is normally performed during the levels of System Testing and Acceptance Testing."
101,"what is acceptance testing","Acceptance testing is a level of software testing where a system is tested for acceptability. The purpose of this test is to evaluate the system’s compliance with the business requirements and assess whether it is acceptable for delivery."
101,"Regression testing","Sorry, I still can't answer that.. Could you ask me differently?"
101,"Alpha testing","Sorry, I still can't answer that.. Could you ask me differently?"
102,"Hi","Welcome!"
102,"What is software testing","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
103,"hi","Welcome!"
103,"Who are you","I am TOB-STT, a software testing teaching assistant!"
103,"what can you do","I am here to help you with software testing. I can answer some question you ask me about that topic."
103,"what is test4","Sorry, I still can't answer that.. Could you ask me differently?"
103,"what is test","A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes."
103,"teste","Sorry, I still can't answer that.. Could you ask me differently?"
103,"test","Sorry, I still can't answer that.. Could you ask me differently?"
103,"o que é teste","Sorry, I still can't answer that.. Could you ask me differently?"
103,"bye","See you!"
103,"see you","Bye bye!"
103,"bye bye","Bye bye!"
103,"What is a error","An error is a state of execution of the program which is not expected and may lead to an incorrect result."
103,"what is a fault","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug."
103,"give a exempla","Sorry, I still can't answer that.. Could you ask me differently?"
103,"give me a example","Sorry, I still can't answer that.. Could you ask me differently?"
103,"Can you give me a example of equivalence class partitioning criteria","Consider the specification. A program validates a field in the following way: values less than 10 are rejected, values between 10 and 21 are accepted and values greater or equal to 22 are rejected. In this problem, the values 3, 10 and 22 cover all the existing equivalence classes."
103,"waht is software testing","Sorry, I still can't answer that.. Could you ask me differently?"
103,"what is software testing","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
103,"fault","Sorry, I still can't answer that.. Could you ask me differently?"
103,"what is fault","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug."
103,"what is error","An error is a state of execution of the program which is not expected and may lead to an incorrect result."
103,"what is Failure","A failure is a result of the program which is incorrect or not expected. This is caused by an error."
103,"what is teste case","Sorry, I still can't answer that.. Could you ask me differently?"
103,"what is test case","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program."
103,"what is teste coverage","Sorry, I still can't answer that.. Could you ask me differently?"
103,"what is testing coverage","Sorry, I still can't answer that.. Could you ask me differently?"
103,"what is oracle","An oracle is any human or mechanical agent that decides whether a program behaved correctly in a given test and accordingly results in a verdict of “pass” or “fail.” There exist many different kinds of oracles; for example, unambiguous requirements specifications, behavioral models, and code annotations. Automation of mechanized oracles can be difficult and expensive."
103,"what id oracle problem","Sorry, I still can't answer that.. Could you ask me differently?"
103,"what is the aim of testing","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
103,"what is unit testing","Unit testing verifies the functioning in isolation of software elements that are separately testable. Depending on the context, these could be the individual subprograms or a larger component made of highly cohesive units. Typically, unit testing occurs with access to the code being tested and with the support of supporting tools. The programmers who wrote the code typically, but not always, conduct unit testing."
103,"what is a test case","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program."
103,"what is test selection criteria","Sorry, I still can't answer that.. Could you ask me differently?"
103,"what is test criterion","Sorry, I still can't answer that.. Could you ask me differently?"
103,"what is equivalence partitioning","Equivalence partitioning is a functional testing criterion that involves partitioning the input domain into a collection of subsets (or equivalent classes). Data in each partition must behave the same way therefore only one condition needs to be tested. Similarly, if one condition in a partition doesn’t work, then none of the others will work."
103,"test criterion","Sorry, I still can't answer that.. Could you ask me differently?"
103,"what is criterion","Sorry, I still can't answer that.. Could you ask me differently?"
103,"what is mutant","Sorry, I still can't answer that.. Could you ask me differently?"
104,"Hello","Hi there, what do you need?"
104,"I nedd to know what is software testing","Sorry, I still can't answer that.. Could you ask me differently?"
104,"I need to know what is software testing","Sorry, I still can't answer that.. Could you ask me differently?"
104,"What is software testing","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
104,"hi","Hello, ask me a question!"
104,"i need to know what is a test case","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program."
104,"what is the definition of defect","A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation."
104,"what is a fault","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug."
104,"what is a failure","A failure is a result of the program which is incorrect or not expected. This is caused by an error."
105,"hi","Welcome!"
105,"could you help me","Ok, tell me. What is your question?"
105,"how can I test a software","Sorry, I still can't answer that.. Could you ask me differently?"
105,"How have I test a software","Sorry, I still can't answer that.. Could you ask me differently?"
105,"no","Sorry, I still can't answer that.. Could you ask me differently?"
105,"no","Sorry, I still can't answer that.. Could you ask me differently?"
105,"yes","Sorry, I still can't answer that.. Could you ask me differently?"
105,"hi","Hello, ask me a question!"
105,"what is a error","An error is a state of execution of the program which is not expected and may lead to an incorrect result."
105,"what is a fault","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug."
105,"what is a faiulure","Sorry, I still can't answer that.. Could you ask me differently?"
105,"what is a failure","A failure is a result of the program which is incorrect or not expected. This is caused by an error."
105,"what is the difference between fault and error","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug. An error is a state of execution of the program which is not expected and may lead to an incorrect result."
105,"can you give me a example of equivalente class partitining criteria","Sorry, I still can't answer that.. Could you ask me differently?"
105,"can you give me a example of equivalence class partitining criteria","Sorry, I still can't answer that.. Could you ask me differently?"
105,"can you give me a example of equivalence class partining criteria","Sorry, I still can't answer that.. Could you ask me differently?"
105,"Can you give me a example of equivalence class partitioning criteria","TOB-STT:"
105,"Can you give me a example of equivalence class partitioning criteria","Here is an example of an application of equivalence partitioning. Consider the following specification: if you are below 18 years old, you are too young to be insured. If you are between 18 and 30 years old, you will get a 20% discount, but you are not elegible for an insurance if you are past 30. In this problem, the ages 18,.., 30 are in the same equivalence class"
105,"what is a software testing","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
105,"what is a dynamic verification","Sorry, I still can't answer that.. Could you ask me differently?"
105,"what is a dynamic verification","Sorry, I still can't answer that.. Could you ask me differently?"
105,"what is failures","Sorry, I still can't answer that.. Could you ask me differently?"
105,"what is failure","A failure is a result of the program which is incorrect or not expected. This is caused by an error."
105,"what is fault","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug."
105,"what is a error","An error is a state of execution of the program which is not expected and may lead to an incorrect result."
105,"what is is failure","A failure is a result of the program which is incorrect or not expected. This is caused by an error."
105,"what is test case","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program."
105,"what is fault-based","Sorry, I still can't answer that.. Could you ask me differently?"
105,"what is is fault based","Sorry, I still can't answer that.. Could you ask me differently?"
106,"Hi, how are you","I am fine, what about you"
106,"Fine thanks","You are welcome! :)"
106,"How do I calculate McCabe index","Sorry, I still can't answer that.. Could you ask me differently?"
106,"How do I apply the McCabe criteria","Sorry, I still can't answer that.. Could you ask me differently?"
106,"How can I calculate McCabe","Sorry, I still can't answer that.. Could you ask me differently?"
106,"What is a test case","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program."
106,"What is software testing","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
106,"What is a limitation of software testing","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
106,"What is the most important limitation of software testing","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
106,"What is a software fault","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug."
106,"What is a software error","An error is a state of execution of the program which is not expected and may lead to an incorrect result."
106,"What is a software failure","A failure is a result of the program which is incorrect or not expected. This is caused by an error."
106,"Which problems are associated with software testing","Sorry, I still can't answer that.. Could you ask me differently?"
106,"What problems are associated with software testing","Sorry, I still can't answer that.. Could you ask me differently?"
106,"What is the oracle problem in software testing","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
106,"How to classify test techniques","Sorry, I still can't answer that.. Could you ask me differently?"
106,"What are the classifications of testing techniques","Sorry, I still can't answer that.. Could you ask me differently?"
106,"Define software testing classification","Sorry, I still can't answer that.. Could you ask me differently?"
106,"What are software testing classifications","Sorry, I still can't answer that.. Could you ask me differently?"
106,"Define unit test","Unit testing verifies the functioning in isolation of software elements that are separately testable. Depending on the context, these could be the individual subprograms or a larger component made of highly cohesive units. Typically, unit testing occurs with access to the code being tested and with the support of supporting tools. The programmers who wrote the code typically, but not always, conduct unit testing."
106,"Define integration testing","Integration testing is the process of verifying the interactions among software components. Classical integration testing strategies, such as top-down and bottom-up, are often used with hierarchically structured software."
106,"Define white-box testing","Sorry, I still can't answer that.. Could you ask me differently?"
106,"Define black-box","Sorry, I still can't answer that.. Could you ask me differently?"
107,"hi","Hello, how are you?"
107,"failure","Sorry, I still can't answer that.. Could you ask me differently?"
107,"what is failure","A failure is a result of the program which is incorrect or not expected. This is caused by an error."
107,"what is fault","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug."
107,"what is error","An error is a state of execution of the program which is not expected and may lead to an incorrect result."
107,"what is oracle","An oracle is any human or mechanical agent that decides whether a program behaved correctly in a given test and accordingly results in a verdict of “pass” or “fail.” There exist many different kinds of oracles; for example, unambiguous requirements specifications, behavioral models, and code annotations. Automation of mechanized oracles can be difficult and expensive."
107,"what is equivalence partitioning","Equivalence partitioning is a functional testing criterion that involves partitioning the input domain into a collection of subsets (or equivalent classes). Data in each partition must behave the same way therefore only one condition needs to be tested. Similarly, if one condition in a partition doesn’t work, then none of the others will work."
108,"hi","Hello, how are you?"
108,"hi","Hello, ask me a question!"
108,"no","Sorry, I still can't answer that.. Could you ask me differently?"
108,"hii","Welcome!"
108,"hiiiiiiii","Sorry, I still can't answer that.. Could you ask me differently?"
108,"hiii","Sorry, I still can't answer that.. Could you ask me differently?"
108,"hii","Welcome!"
108,"helloo","Sorry, I still can't answer that.. Could you ask me differently?"
108,"hiii","Sorry, I still can't answer that.. Could you ask me differently?"
108,"hii","Hi there, what do you need?"
108,"hiii","Sorry, I still can't answer that.. Could you ask me differently?"
108,"hi","Hello, ask me a question!"
108,"hood","Sorry, I still can't answer that.. Could you ask me differently?"
108,"good","Sorry, I still can't answer that.. Could you ask me differently?"
108,"what is testing","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
108,"what is 52 testing","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
108,"what is geu testing","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
108,"what is functional testing","Functional testing (or Black Box Testing) is a technique whereby the system is tested against the functional requirements/specifications. During the functional testing the internal logic of the system being tested is not known to the tester. Functional testing ensures that the requirements are properly satisfied by the system. This type of testing is not concerned with how processing occurs, but rather, with the results of processing. It simulates actual system usage but does not make any system structure assumptions. Functional testing is normally performed during the levels of System Testing and Acceptance Testing."
108,"what is your name","I am TOB-STT, a software testing teaching assistant!"
108,"how did you learn these things","Sorry, I still can't answer that.. Could you ask me differently?"
108,"who taught you these things","Sorry, I still can't answer that.. Could you ask me differently?"
108,"fuck","Sorry, I still can't answer that.. Could you ask me differently?"
109,"Hello","Hello, ask me a question!"
109,"What is software testing","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
109,"Limitations of software testing","Sorry, I still can't answer that.. Could you ask me differently?"
109,"What is the limitations of software testing","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
109,"What is a fault","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug."
109,"What is an error","An error is a state of execution of the program which is not expected and may lead to an incorrect result."
109,"What is a failure","A failure is a result of the program which is incorrect or not expected. This is caused by an error."
109,"What is a mistake","A mistake is a human action that inserts a fault (or defect) into the source code, for instance, a typo is a mistake."
109,"What is a test case","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program."
109,"What is a test set","The test set is composed by several test cases that are used in a software testing activity."
109,"What is the Oracle problem","Sorry, I still can't answer that.. Could you ask me differently?"
109,"Where is user coverage criterion","Sorry, I still can't answer that.. Could you ask me differently?"
109,"What is a testing technique","Sorry, I still can't answer that.. Could you ask me differently?"
109,"What is the white-box testing","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
109,"What is functional testing","Functional testing (or Black Box Testing) is a technique whereby the system is tested against the functional requirements/specifications. During the functional testing the internal logic of the system being tested is not known to the tester. Functional testing ensures that the requirements are properly satisfied by the system. This type of testing is not concerned with how processing occurs, but rather, with the results of processing. It simulates actual system usage but does not make any system structure assumptions. Functional testing is normally performed during the levels of System Testing and Acceptance Testing."
109,"What is structural testing","Structural testing (or White-Box testing) is a technique in which tests are derived from the knowledge of the software's structure or internal implementation. That way, the testing professional is able to check if a specific part of the code is correct. Unit testing is an instance of structural testing."
109,"What is unit testing","Unit testing verifies the functioning in isolation of software elements that are separately testable. Depending on the context, these could be the individual subprograms or a larger component made of highly cohesive units. Typically, unit testing occurs with access to the code being tested and with the support of supporting tools. The programmers who wrote the code typically, but not always, conduct unit testing."
109,"What is integration testing","Integration testing is the process of verifying the interactions among software components. Classical integration testing strategies, such as top-down and bottom-up, are often used with hierarchically structured software."
109,"What is test selection criteria","Sorry, I still can't answer that.. Could you ask me differently?"
109,"What is equivalence partitioning","Equivalence partitioning is a functional testing criterion that involves partitioning the input domain into a collection of subsets (or equivalent classes). Data in each partition must behave the same way therefore only one condition needs to be tested. Similarly, if one condition in a partition doesn’t work, then none of the others will work."
10,"Simone","Hello Simone ! Can you tell me your Numero USP?"
10,"1842655","Thank you! And nice to meet you!"
10,"Thanks","You are welcome! :)"
10,"What´s your name?","I have to think about that one for a while."
10,"how fucntional testing works?","I don't know how to respond this"
10,"How to apply functional testing?","It depends of the criteria or technique used. The most common techniques used in functional testing are equivalence partitioning, boundary-value analysis and cause-effect graphing."
10,"What´s functional testing?","Functional testing or black-box testing is a type of testing which checks if a program or system is working correctly only by comparing the expected outputs with the output of the program. The professional responsible for doing the test activity does only know the possible input and output values for the program, but has no knowledge of the source code or internal structure of the program or software."
10,"How to apply cause-effect graphing?","I don't know how to respond this"
10,"How to apply equivalence partitioning?","The equivalence partitioning is done dividing the input set in several subsets with no intersecction (i.e. a partition) and creating a test case for each representative of the subsets. For example, you can separate invalid and valid inputs into two different subsets."
110,"Hi","Hello, how are you?"
110,"Good, you","Sorry, I still can't answer that.. Could you ask me differently?"
110,"How","Sorry, I still can't answer that.. Could you ask me differently?"
110,"Yes","Sorry, I still can't answer that.. Could you ask me differently?"
110,"No","Sorry, I still can't answer that.. Could you ask me differently?"
110,"Fault","Sorry, I still can't answer that.. Could you ask me differently?"
110,"What is a fault","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug."
110,"What is an error","An error is a state of execution of the program which is not expected and may lead to an incorrect result."
110,"What is failure","A failure is a result of the program which is incorrect or not expected. This is caused by an error."
110,"What is a test set","The test set is composed by several test cases that are used in a software testing activity."
110,"Test coverage","Sorry, I still can't answer that.. Could you ask me differently?"
110,"What is test coverage","Sorry, I still can't answer that.. Could you ask me differently?"
110,"What is a test case","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program."
110,"What is unit test","A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes."
110,"What is unit testing","Unit testing verifies the functioning in isolation of software elements that are separately testable. Depending on the context, these could be the individual subprograms or a larger component made of highly cohesive units. Typically, unit testing occurs with access to the code being tested and with the support of supporting tools. The programmers who wrote the code typically, but not always, conduct unit testing."
110,"What is white box testing","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
110,"What is integration testing","Integration testing is the process of verifying the interactions among software components. Classical integration testing strategies, such as top-down and bottom-up, are often used with hierarchically structured software."
110,"What is a bug","A software defect or bug is a condition in a software product which doesn’t meet a software requirement or end-user expectation."
110,"What is software failure","A failure is a result of the program which is incorrect or not expected. This is caused by an error."
111,"hello","Welcome!"
111,"what is fault","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug."
111,"what is software test","A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes."
111,"what is fault","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug."
111,"what is error","An error is a state of execution of the program which is not expected and may lead to an incorrect result."
111,"what is failure","A failure is a result of the program which is incorrect or not expected. This is caused by an error."
111,"what is white box","Sorry, I still can't answer that.. Could you ask me differently?"
111,"what is white box testing","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
111,"what is testing","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
111,"ehat ar the three main phases of software testing","Sorry, I still can't answer that.. Could you ask me differently?"
111,"what ar the three main phases of software testing","Sorry, I still can't answer that.. Could you ask me differently?"
111,"what are the three main phases of software testing","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
111,"what is the aim of test","A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes."
111,"test","Sorry, I still can't answer that.. Could you ask me differently?"
111,"what test","Sorry, I still can't answer that.. Could you ask me differently?"
111,"what is test","A test, in software testing, is the act of performing some assurance of both the correctness of a software and its validation of the project requisistes."
111,"deffine white box","Sorry, I still can't answer that.. Could you ask me differently?"
111,"How do i apply equivalence class partitioning criteria","The equivalence partitioning criterion divides the input domain in several subsets (partitions) with no intersection and selects a test case for each partition. The idea is that each test case represents all input domain that partition class and, therefore, one test case for each class is enough for this testing criterion. The criterion considers valid and invalid equivalence classes. For example, you can separate invalid and valid inputs into two different subsets or classes."
111,"How do i apply equivalence class partitioning criteria","The equivalence partitioning criterion divides the input domain in several subsets (partitions) with no intersection and selects a test case for each partition. The idea is that each test case represents all input domain that partition class and, therefore, one test case for each class is enough for this testing criterion. The criterion considers valid and invalid equivalence classes. For example, you can separate invalid and valid inputs into two different subsets or classes."
111,"Can you give me a example of functional testing criteria","In functional testing technique, the functionality of an application is tested by providing inputs to generate the desired outputs. Consider a bus ticket purchase system with the following requirement: The discount amount is calculated as follows: students can purchase up to 100 tickets per month, with a 50% discount; workers can buy up to 50 tickets a month, with a 30% discount; other users do not have discount on the ticket price. The functional testing concentrates in selection of test input (or data test) to test this functionality, for instance, selecting test input for each class of user of the bus (student, worker and others)."
111,"what is white-box","Sorry, I still can't answer that.. Could you ask me differently?"
111,"what is white-box testing","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
112,"what is a test case","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program."
112,"Can you explain me about test cases","Sorry, I still can't answer that.. Could you ask me differently?"
112,"What is a fault","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug."
112,"{{}}","Sorry, I still can't answer that.. Could you ask me differently?"
112,"what is a failure","A failure is a result of the program which is incorrect or not expected. This is caused by an error."
112,"what is a what is a failure","A failure is a result of the program which is incorrect or not expected. This is caused by an error."
112,"Lorem ipsun what is a failure","Sorry, I still can't answer that.. Could you ask me differently?"
112,"what is inconsistency","Sorry, I still can't answer that.. Could you ask me differently?"
113,"test case","Sorry, I still can't answer that.. Could you ask me differently?"
113,"Error","Sorry, I still can't answer that.. Could you ask me differently?"
113,"What is Error","An error is a state of execution of the program which is not expected and may lead to an incorrect result."
113,"What Is is software testing","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
113,"what is is software fault","Fault is an incorrect step, process, or data definition in computer program. Fault is the formal name of a bug."
113,"What Is is a Software Error","An error is a state of execution of the program which is not expected and may lead to an incorrect result."
113,"What Is is a Software failure","A failure is a result of the program which is incorrect or not expected. This is caused by an error."
113,"what is a test case","A test case is composed by the test input, the execution conditions and the expected output to be produced by the program."
113,"what is a oracle","An oracle is any human or mechanical agent that decides whether a program behaved correctly in a given test and accordingly results in a verdict of “pass” or “fail.” There exist many different kinds of oracles; for example, unambiguous requirements specifications, behavioral models, and code annotations. Automation of mechanized oracles can be difficult and expensive."
113,"what is a oracle problem","Sorry, I still can't answer that.. Could you ask me differently?"
113,"what is a white-box testing","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
113,"what is a black-box testing","Software testing is an activity of software engineering whose main goal is to validate the project requisites and to assert the software correctness, both before the deployment of the final product as well as during its maintenaice."
113,"unit testing","Sorry, I still can't answer that.. Could you ask me differently?"
113,"what is a unit testing","Unit testing verifies the functioning in isolation of software elements that are separately testable. Depending on the context, these could be the individual subprograms or a larger component made of highly cohesive units. Typically, unit testing occurs with access to the code being tested and with the support of supporting tools. The programmers who wrote the code typically, but not always, conduct unit testing."
113,"what is a integration testing","Integration testing is the process of verifying the interactions among software components. Classical integration testing strategies, such as top-down and bottom-up, are often used with hierarchically structured software."
113,"what is a test selection","Sorry, I still can't answer that.. Could you ask me differently?"
113,"what is a test selection criteria","Sorry, I still can't answer that.. Could you ask me differently?"
113,"what is a test selection criterion","Sorry, I still can't answer that.. Could you ask me differently?"
113,"what is a functional testing","Functional testing (or Black Box Testing) is a technique whereby the system is tested against the functional requirements/specifications. During the functional testing the internal logic of the system being tested is not known to the tester. Functional testing ensures that the requirements are properly satisfied by the system. This type of testing is not concerned with how processing occurs, but rather, with the results of processing. It simulates actual system usage but does not make any system structure assumptions. Functional testing is normally performed during the levels of System Testing and Acceptance Testing."
114,"hi","Hello, ask me a question!"
114,"what is a dog","Sorry, I still can't answer that.. Could you ask me differently?"
114,"how much is 3 + 4","Sorry, I still can't answer that.. Could you ask me differently?"
114,"what is an error","An error is a state of execution of the program which is not expected and may lead to an incorrect result."
114,"error","Sorry, I still can't answer that.. Could you ask me differently?"
