question_cluster,question_cluster,absolute_count,relative_count
105,105,3,0.0010036801605888257
73,73,3,0.0010036801605888257
119,119,3,0.0010036801605888257
217,217,3,0.0010036801605888257
88,88,3,0.0010036801605888257
207,207,3,0.0010036801605888257
192,192,3,0.0010036801605888257
68,68,3,0.0010036801605888257
159,159,3,0.0010036801605888257
65,65,3,0.0010036801605888257
139,139,3,0.0010036801605888257
262,262,2,0.0006691201070592171
197,197,2,0.0006691201070592171
244,244,2,0.0006691201070592171
226,226,2,0.0006691201070592171
240,240,2,0.0006691201070592171
169,169,2,0.0006691201070592171
246,246,2,0.0006691201070592171
194,194,2,0.0006691201070592171
109,109,2,0.0006691201070592171
189,189,2,0.0006691201070592171
128,128,2,0.0006691201070592171
212,212,2,0.0006691201070592171
125,125,2,0.0006691201070592171
257,257,2,0.0006691201070592171
220,220,2,0.0006691201070592171
231,231,2,0.0006691201070592171
250,250,2,0.0006691201070592171
230,230,2,0.0006691201070592171
